date,day_of_week,brand,cnt,calendar,year,month,day_of_year,gap
12,1,1,575,2013/1/14,2013,1,14,1
12,1,2,393,2013/1/14,2013,1,14,1
12,1,3,321,2013/1/14,2013,1,14,1
12,1,4,725,2013/1/14,2013,1,14,1
12,1,5,721,2013/1/14,2013,1,14,1
13,2,1,544,2013/1/15,2013,1,15,0
13,2,2,412,2013/1/15,2013,1,15,0
13,2,3,187,2013/1/15,2013,1,15,0
13,2,4,574,2013/1/15,2013,1,15,0
13,2,5,669,2013/1/15,2013,1,15,0
14,3,1,305,2013/1/16,2013,1,16,0
14,3,2,384,2013/1/16,2013,1,16,0
14,3,3,249,2013/1/16,2013,1,16,0
14,3,4,507,2013/1/16,2013,1,16,0
14,3,5,456,2013/1/16,2013,1,16,0
15,4,1,735,2013/1/17,2013,1,17,0
15,4,2,1824,2013/1/17,2013,1,17,0
15,4,3,1235,2013/1/17,2013,1,17,0
15,4,4,598,2013/1/17,2013,1,17,0
15,4,5,1680,2013/1/17,2013,1,17,0
16,5,1,627,2013/1/18,2013,1,18,0
16,5,2,570,2013/1/18,2013,1,18,0
16,5,3,428,2013/1/18,2013,1,18,0
16,5,4,411,2013/1/18,2013,1,18,0
16,5,5,680,2013/1/18,2013,1,18,0
17,6,1,65,2013/1/19,2013,1,19,0
17,6,2,95,2013/1/19,2013,1,19,0
17,6,3,0,2013/1/19,2013,1,19,0
17,6,4,30,2013/1/19,2013,1,19,0
17,6,5,26,2013/1/19,2013,1,19,0
18,7,1,0,2013/1/20,2013,1,20,0
18,7,2,0,2013/1/20,2013,1,20,0
18,7,3,0,2013/1/20,2013,1,20,0
18,7,4,0,2013/1/20,2013,1,20,0
18,7,5,22,2013/1/20,2013,1,20,0
19,1,1,819,2013/1/21,2013,1,21,0
19,1,2,646,2013/1/21,2013,1,21,0
19,1,3,449,2013/1/21,2013,1,21,0
19,1,4,918,2013/1/21,2013,1,21,0
19,1,5,1071,2013/1/21,2013,1,21,0
20,2,1,610,2013/1/22,2013,1,22,0
20,2,2,380,2013/1/22,2013,1,22,0
20,2,3,428,2013/1/22,2013,1,22,0
20,2,4,664,2013/1/22,2013,1,22,0
20,2,5,618,2013/1/22,2013,1,22,0
21,3,1,447,2013/1/23,2013,1,23,0
21,3,2,473,2013/1/23,2013,1,23,0
21,3,3,549,2013/1/23,2013,1,23,0
21,3,4,366,2013/1/23,2013,1,23,0
21,3,5,865,2013/1/23,2013,1,23,0
22,4,1,447,2013/1/24,2013,1,24,0
22,4,2,372,2013/1/24,2013,1,24,0
22,4,3,431,2013/1/24,2013,1,24,0
22,4,4,332,2013/1/24,2013,1,24,0
22,4,5,491,2013/1/24,2013,1,24,0
23,5,1,192,2013/1/25,2013,1,25,0
23,5,2,304,2013/1/25,2013,1,25,0
23,5,3,321,2013/1/25,2013,1,25,0
23,5,4,556,2013/1/25,2013,1,25,0
23,5,5,329,2013/1/25,2013,1,25,0
24,6,1,22,2013/1/26,2013,1,26,0
24,6,2,48,2013/1/26,2013,1,26,0
24,6,3,80,2013/1/26,2013,1,26,0
24,6,4,30,2013/1/26,2013,1,26,0
24,6,5,51,2013/1/26,2013,1,26,0
-2,7,1,0,2013/1/27,2013,1,27,0
-2,7,2,0,2013/1/27,2013,1,27,0
-2,7,3,0,2013/1/27,2013,1,27,0
-2,7,4,0,2013/1/27,2013,1,27,0
-2,7,5,0,2013/1/27,2013,1,27,0
25,1,1,767,2013/1/28,2013,1,28,1
25,1,2,532,2013/1/28,2013,1,28,1
25,1,3,385,2013/1/28,2013,1,28,1
25,1,4,725,2013/1/28,2013,1,28,1
25,1,5,968,2013/1/28,2013,1,28,1
26,2,1,697,2013/1/29,2013,1,29,0
26,2,2,523,2013/1/29,2013,1,29,0
26,2,3,695,2013/1/29,2013,1,29,0
26,2,4,483,2013/1/29,2013,1,29,0
26,2,5,618,2013/1/29,2013,1,29,0
27,3,1,508,2013/1/30,2013,1,30,0
27,3,2,577,2013/1/30,2013,1,30,0
27,3,3,449,2013/1/30,2013,1,30,0
27,3,4,451,2013/1/30,2013,1,30,0
27,3,5,601,2013/1/30,2013,1,30,0
28,4,1,224,2013/1/31,2013,1,31,0
28,4,2,186,2013/1/31,2013,1,31,0
28,4,3,372,2013/1/31,2013,1,31,0
28,4,4,266,2013/1/31,2013,1,31,0
28,4,5,604,2013/1/31,2013,1,31,0
29,5,1,523,2013/2/1,2013,2,32,0
29,5,2,456,2013/2/1,2013,2,32,0
29,5,3,556,2013/2/1,2013,2,32,0
29,5,4,676,2013/2/1,2013,2,32,0
29,5,5,515,2013/2/1,2013,2,32,0
30,6,1,44,2013/2/2,2013,2,33,0
30,6,2,63,2013/2/2,2013,2,33,0
30,6,3,0,2013/2/2,2013,2,33,0
30,6,4,121,2013/2/2,2013,2,33,0
30,6,5,51,2013/2/2,2013,2,33,0
31,7,1,0,2013/2/3,2013,2,34,0
31,7,2,0,2013/2/3,2013,2,34,0
31,7,3,23,2013/2/3,2013,2,34,0
31,7,4,0,2013/2/3,2013,2,34,0
31,7,5,0,2013/2/3,2013,2,34,0
32,1,1,802,2013/2/4,2013,2,35,0
32,1,2,659,2013/2/4,2013,2,35,0
32,1,3,620,2013/2/4,2013,2,35,0
32,1,4,942,2013/2/4,2013,2,35,0
32,1,5,1071,2013/2/4,2013,2,35,0
33,2,1,871,2013/2/5,2013,2,36,0
33,2,2,602,2013/2/5,2013,2,36,0
33,2,3,642,2013/2/5,2013,2,36,0
33,2,4,966,2013/2/5,2013,2,36,0
33,2,5,978,2013/2/5,2013,2,36,0
34,3,1,976,2013/2/6,2013,2,37,0
34,3,2,532,2013/2/6,2013,2,37,0
34,3,3,399,2013/2/6,2013,2,37,0
34,3,4,705,2013/2/6,2013,2,37,0
34,3,5,1129,2013/2/6,2013,2,37,0
35,4,1,479,2013/2/7,2013,2,38,0
35,4,2,430,2013/2/7,2013,2,38,0
35,4,3,255,2013/2/7,2013,2,38,0
35,4,4,686,2013/2/7,2013,2,38,0
35,4,5,717,2013/2/7,2013,2,38,0
36,5,1,174,2013/2/8,2013,2,39,0
36,5,2,177,2013/2/8,2013,2,39,0
36,5,3,128,2013/2/8,2013,2,39,0
36,5,4,97,2013/2/8,2013,2,39,0
36,5,5,185,2013/2/8,2013,2,39,0
-3,6,1,0,2013/2/9,2013,2,40,0
-3,6,2,0,2013/2/9,2013,2,40,0
-3,6,3,0,2013/2/9,2013,2,40,0
-3,6,4,0,2013/2/9,2013,2,40,0
-3,6,5,0,2013/2/9,2013,2,40,0
-4,7,1,0,2013/2/10,2013,2,41,1
-4,7,2,0,2013/2/10,2013,2,41,1
-4,7,3,0,2013/2/10,2013,2,41,1
-4,7,4,0,2013/2/10,2013,2,41,1
-4,7,5,0,2013/2/10,2013,2,41,1
-5,1,1,0,2013/2/11,2013,2,42,2
-5,1,2,0,2013/2/11,2013,2,42,2
-5,1,3,0,2013/2/11,2013,2,42,2
-5,1,4,0,2013/2/11,2013,2,42,2
-5,1,5,0,2013/2/11,2013,2,42,2
-6,2,1,0,2013/2/12,2013,2,43,3
-6,2,2,0,2013/2/12,2013,2,43,3
-6,2,3,0,2013/2/12,2013,2,43,3
-6,2,4,0,2013/2/12,2013,2,43,3
-6,2,5,0,2013/2/12,2013,2,43,3
-7,3,1,0,2013/2/13,2013,2,44,4
-7,3,2,0,2013/2/13,2013,2,44,4
-7,3,3,0,2013/2/13,2013,2,44,4
-7,3,4,0,2013/2/13,2013,2,44,4
-7,3,5,0,2013/2/13,2013,2,44,4
37,4,1,0,2013/2/14,2013,2,45,5
37,4,2,0,2013/2/14,2013,2,45,5
37,4,3,0,2013/2/14,2013,2,45,5
37,4,4,0,2013/2/14,2013,2,45,5
37,4,5,19,2013/2/14,2013,2,45,5
38,5,1,0,2013/2/15,2013,2,46,0
38,5,2,13,2013/2/15,2013,2,46,0
38,5,3,0,2013/2/15,2013,2,46,0
38,5,4,0,2013/2/15,2013,2,46,0
38,5,5,0,2013/2/15,2013,2,46,0
39,6,1,762,2013/2/16,2013,2,47,0
39,6,2,364,2013/2/16,2013,2,47,0
39,6,3,401,2013/2/16,2013,2,47,0
39,6,4,574,2013/2/16,2013,2,47,0
39,6,5,746,2013/2/16,2013,2,47,0
40,7,1,812,2013/2/17,2013,2,48,0
40,7,2,343,2013/2/17,2013,2,48,0
40,7,3,394,2013/2/17,2013,2,48,0
40,7,4,785,2013/2/17,2013,2,48,0
40,7,5,602,2013/2/17,2013,2,48,0
41,1,1,488,2013/2/18,2013,2,49,0
41,1,2,304,2013/2/18,2013,2,49,0
41,1,3,428,2013/2/18,2013,2,49,0
41,1,4,725,2013/2/18,2013,2,49,0
41,1,5,432,2013/2/18,2013,2,49,0
42,2,1,348,2013/2/19,2013,2,50,0
42,2,2,238,2013/2/19,2013,2,50,0
42,2,3,241,2013/2/19,2013,2,50,0
42,2,4,604,2013/2/19,2013,2,50,0
42,2,5,309,2013/2/19,2013,2,50,0
43,3,1,468,2013/2/20,2013,2,51,0
43,3,2,562,2013/2/20,2013,2,51,0
43,3,3,449,2013/2/20,2013,2,51,0
43,3,4,676,2013/2/20,2013,2,51,0
43,3,5,408,2013/2/20,2013,2,51,0
44,4,1,351,2013/2/21,2013,2,52,0
44,4,2,290,2013/2/21,2013,2,52,0
44,4,3,157,2013/2/21,2013,2,52,0
44,4,4,664,2013/2/21,2013,2,52,0
44,4,5,434,2013/2/21,2013,2,52,0
45,5,1,418,2013/2/22,2013,2,53,0
45,5,2,279,2013/2/22,2013,2,53,0
45,5,3,128,2013/2/22,2013,2,53,0
45,5,4,459,2013/2/22,2013,2,53,0
45,5,5,268,2013/2/22,2013,2,53,0
46,6,1,0,2013/2/23,2013,2,54,0
46,6,2,16,2013/2/23,2013,2,54,0
46,6,3,53,2013/2/23,2013,2,54,0
46,6,4,91,2013/2/23,2013,2,54,0
46,6,5,26,2013/2/23,2013,2,54,0
-8,7,1,0,2013/2/24,2013,2,55,0
-8,7,2,0,2013/2/24,2013,2,55,0
-8,7,3,0,2013/2/24,2013,2,55,0
-8,7,4,0,2013/2/24,2013,2,55,0
-8,7,5,0,2013/2/24,2013,2,55,0
47,1,1,592,2013/2/25,2013,2,56,1
47,1,2,304,2013/2/25,2013,2,56,1
47,1,3,171,2013/2/25,2013,2,56,1
47,1,4,580,2013/2/25,2013,2,56,1
47,1,5,227,2013/2/25,2013,2,56,1
48,2,1,436,2013/2/26,2013,2,57,0
48,2,2,396,2013/2/26,2013,2,57,0
48,2,3,267,2013/2/26,2013,2,57,0
48,2,4,513,2013/2/26,2013,2,57,0
48,2,5,232,2013/2/26,2013,2,57,0
49,3,1,590,2013/2/27,2013,2,58,0
49,3,2,310,2013/2/27,2013,2,58,0
49,3,3,200,2013/2/27,2013,2,58,0
49,3,4,507,2013/2/27,2013,2,58,0
49,3,5,312,2013/2/27,2013,2,58,0
50,4,1,208,2013/2/28,2013,2,59,0
50,4,2,232,2013/2/28,2013,2,59,0
50,4,3,98,2013/2/28,2013,2,59,0
50,4,4,332,2013/2/28,2013,2,59,0
50,4,5,321,2013/2/28,2013,2,59,0
51,5,1,314,2013/3/1,2013,3,60,0
51,5,2,342,2013/3/1,2013,3,60,0
51,5,3,321,2013/3/1,2013,3,60,0
51,5,4,386,2013/3/1,2013,3,60,0
51,5,5,453,2013/3/1,2013,3,60,0
52,6,1,0,2013/3/2,2013,3,61,0
52,6,2,0,2013/3/2,2013,3,61,0
52,6,3,27,2013/3/2,2013,3,61,0
52,6,4,60,2013/3/2,2013,3,61,0
52,6,5,0,2013/3/2,2013,3,61,0
-9,7,1,0,2013/3/3,2013,3,62,0
-9,7,2,0,2013/3/3,2013,3,62,0
-9,7,3,0,2013/3/3,2013,3,62,0
-9,7,4,0,2013/3/3,2013,3,62,0
-9,7,5,0,2013/3/3,2013,3,62,0
53,1,1,401,2013/3/4,2013,3,63,1
53,1,2,266,2013/3/4,2013,3,63,1
53,1,3,321,2013/3/4,2013,3,63,1
53,1,4,628,2013/3/4,2013,3,63,1
53,1,5,227,2013/3/4,2013,3,63,1
54,2,1,544,2013/3/5,2013,3,64,0
54,2,2,206,2013/3/5,2013,3,64,0
54,2,3,294,2013/3/5,2013,3,64,0
54,2,4,393,2013/3/5,2013,3,64,0
54,2,5,463,2013/3/5,2013,3,64,0
55,3,1,468,2013/3/6,2013,3,65,0
55,3,2,266,2013/3/6,2013,3,65,0
55,3,3,150,2013/3/6,2013,3,65,0
55,3,4,395,2013/3/6,2013,3,65,0
55,3,5,336,2013/3/6,2013,3,65,0
56,4,1,335,2013/3/7,2013,3,66,0
56,4,2,244,2013/3/7,2013,3,66,0
56,4,3,157,2013/3/7,2013,3,66,0
56,4,4,310,2013/3/7,2013,3,66,0
56,4,5,415,2013/3/7,2013,3,66,0
57,5,1,261,2013/3/8,2013,3,67,0
57,5,2,228,2013/3/8,2013,3,67,0
57,5,3,299,2013/3/8,2013,3,67,0
57,5,4,314,2013/3/8,2013,3,67,0
57,5,5,412,2013/3/8,2013,3,67,0
58,6,1,44,2013/3/9,2013,3,68,0
58,6,2,32,2013/3/9,2013,3,68,0
58,6,3,53,2013/3/9,2013,3,68,0
58,6,4,0,2013/3/9,2013,3,68,0
58,6,5,51,2013/3/9,2013,3,68,0
59,7,1,19,2013/3/10,2013,3,69,0
59,7,2,0,2013/3/10,2013,3,69,0
59,7,3,0,2013/3/10,2013,3,69,0
59,7,4,0,2013/3/10,2013,3,69,0
59,7,5,22,2013/3/10,2013,3,69,0
60,1,1,732,2013/3/11,2013,3,70,0
60,1,2,329,2013/3/11,2013,3,70,0
60,1,3,235,2013/3/11,2013,3,70,0
60,1,4,266,2013/3/11,2013,3,70,0
60,1,5,371,2013/3/11,2013,3,70,0
61,2,1,436,2013/3/12,2013,3,71,0
61,2,2,253,2013/3/12,2013,3,71,0
61,2,3,241,2013/3/12,2013,3,71,0
61,2,4,393,2013/3/12,2013,3,71,0
61,2,5,489,2013/3/12,2013,3,71,0
62,3,1,407,2013/3/13,2013,3,72,0
62,3,2,237,2013/3/13,2013,3,72,0
62,3,3,200,2013/3/13,2013,3,72,0
62,3,4,535,2013/3/13,2013,3,72,0
62,3,5,384,2013/3/13,2013,3,72,0
63,4,1,303,2013/3/14,2013,3,73,0
63,4,2,314,2013/3/14,2013,3,73,0
63,4,3,176,2013/3/14,2013,3,73,0
63,4,4,310,2013/3/14,2013,3,73,0
63,4,5,283,2013/3/14,2013,3,73,0
64,5,1,261,2013/3/15,2013,3,74,0
64,5,2,342,2013/3/15,2013,3,74,0
64,5,3,171,2013/3/15,2013,3,74,0
64,5,4,242,2013/3/15,2013,3,74,0
64,5,5,329,2013/3/15,2013,3,74,0
65,6,1,0,2013/3/16,2013,3,75,0
65,6,2,0,2013/3/16,2013,3,75,0
65,6,3,27,2013/3/16,2013,3,75,0
65,6,4,60,2013/3/16,2013,3,75,0
65,6,5,26,2013/3/16,2013,3,75,0
-10,7,1,0,2013/3/17,2013,3,76,0
-10,7,2,0,2013/3/17,2013,3,76,0
-10,7,3,0,2013/3/17,2013,3,76,0
-10,7,4,0,2013/3/17,2013,3,76,0
-10,7,5,0,2013/3/17,2013,3,76,0
66,1,1,470,2013/3/18,2013,3,77,1
66,1,2,317,2013/3/18,2013,3,77,1
66,1,3,257,2013/3/18,2013,3,77,1
66,1,4,362,2013/3/18,2013,3,77,1
66,1,5,391,2013/3/18,2013,3,77,1
67,2,1,457,2013/3/19,2013,3,78,0
67,2,2,380,2013/3/19,2013,3,78,0
67,2,3,294,2013/3/19,2013,3,78,0
67,2,4,423,2013/3/19,2013,3,78,0
67,2,5,335,2013/3/19,2013,3,78,0
68,3,1,346,2013/3/20,2013,3,79,0
68,3,2,399,2013/3/20,2013,3,79,0
68,3,3,150,2013/3/20,2013,3,79,0
68,3,4,310,2013/3/20,2013,3,79,0
68,3,5,240,2013/3/20,2013,3,79,0
69,4,1,367,2013/3/21,2013,3,80,0
69,4,2,348,2013/3/21,2013,3,80,0
69,4,3,157,2013/3/21,2013,3,80,0
69,4,4,221,2013/3/21,2013,3,80,0
69,4,5,359,2013/3/21,2013,3,80,0
70,5,1,418,2013/3/22,2013,3,81,0
70,5,2,342,2013/3/22,2013,3,81,0
70,5,3,235,2013/3/22,2013,3,81,0
70,5,4,193,2013/3/22,2013,3,81,0
70,5,5,371,2013/3/22,2013,3,81,0
71,6,1,44,2013/3/23,2013,3,82,0
71,6,2,16,2013/3/23,2013,3,82,0
71,6,3,27,2013/3/23,2013,3,82,0
71,6,4,60,2013/3/23,2013,3,82,0
71,6,5,51,2013/3/23,2013,3,82,0
-11,7,1,0,2013/3/24,2013,3,83,0
-11,7,2,0,2013/3/24,2013,3,83,0
-11,7,3,0,2013/3/24,2013,3,83,0
-11,7,4,0,2013/3/24,2013,3,83,0
-11,7,5,0,2013/3/24,2013,3,83,0
72,1,1,401,2013/3/25,2013,3,84,1
72,1,2,291,2013/3/25,2013,3,84,1
72,1,3,235,2013/3/25,2013,3,84,1
72,1,4,338,2013/3/25,2013,3,84,1
72,1,5,474,2013/3/25,2013,3,84,1
73,2,1,479,2013/3/26,2013,3,85,0
73,2,2,285,2013/3/26,2013,3,85,0
73,2,3,294,2013/3/26,2013,3,85,0
73,2,4,453,2013/3/26,2013,3,85,0
73,2,5,283,2013/3/26,2013,3,85,0
74,3,1,305,2013/3/27,2013,3,86,0
74,3,2,444,2013/3/27,2013,3,86,0
74,3,3,125,2013/3/27,2013,3,86,0
74,3,4,254,2013/3/27,2013,3,86,0
74,3,5,336,2013/3/27,2013,3,86,0
75,4,1,240,2013/3/28,2013,3,87,0
75,4,2,232,2013/3/28,2013,3,87,0
75,4,3,176,2013/3/28,2013,3,87,0
75,4,4,310,2013/3/28,2013,3,87,0
75,4,5,321,2013/3/28,2013,3,87,0
76,5,1,227,2013/3/29,2013,3,88,0
76,5,2,444,2013/3/29,2013,3,88,0
76,5,3,235,2013/3/29,2013,3,88,0
76,5,4,242,2013/3/29,2013,3,88,0
76,5,5,453,2013/3/29,2013,3,88,0
77,6,1,22,2013/3/30,2013,3,89,0
77,6,2,32,2013/3/30,2013,3,89,0
77,6,3,0,2013/3/30,2013,3,89,0
77,6,4,91,2013/3/30,2013,3,89,0
77,6,5,26,2013/3/30,2013,3,89,0
78,7,1,0,2013/3/31,2013,3,90,0
78,7,2,0,2013/3/31,2013,3,90,0
78,7,3,0,2013/3/31,2013,3,90,0
78,7,4,0,2013/3/31,2013,3,90,0
78,7,5,22,2013/3/31,2013,3,90,0
79,1,1,157,2013/4/1,2013,4,91,0
79,1,2,215,2013/4/1,2013,4,91,0
79,1,3,107,2013/4/1,2013,4,91,0
79,1,4,121,2013/4/1,2013,4,91,0
79,1,5,144,2013/4/1,2013,4,91,0
80,2,1,501,2013/4/2,2013,4,92,0
80,2,2,507,2013/4/2,2013,4,92,0
80,2,3,401,2013/4/2,2013,4,92,0
80,2,4,423,2013/4/2,2013,4,92,0
80,2,5,592,2013/4/2,2013,4,92,0
81,3,1,366,2013/4/3,2013,4,93,0
81,3,2,429,2013/4/3,2013,4,93,0
81,3,3,249,2013/4/3,2013,4,93,0
81,3,4,338,2013/4/3,2013,4,93,0
81,3,5,577,2013/4/3,2013,4,93,0
82,4,1,16,2013/4/4,2013,4,94,0
82,4,2,0,2013/4/4,2013,4,94,0
82,4,3,0,2013/4/4,2013,4,94,0
82,4,4,44,2013/4/4,2013,4,94,0
82,4,5,0,2013/4/4,2013,4,94,0
83,5,1,17,2013/4/5,2013,4,95,0
83,5,2,13,2013/4/5,2013,4,95,0
83,5,3,0,2013/4/5,2013,4,95,0
83,5,4,0,2013/4/5,2013,4,95,0
83,5,5,21,2013/4/5,2013,4,95,0
84,6,1,0,2013/4/6,2013,4,96,0
84,6,2,0,2013/4/6,2013,4,96,0
84,6,3,0,2013/4/6,2013,4,96,0
84,6,4,30,2013/4/6,2013,4,96,0
84,6,5,0,2013/4/6,2013,4,96,0
85,7,1,415,2013/4/7,2013,4,97,0
85,7,2,398,2013/4/7,2013,4,97,0
85,7,3,232,2013/4/7,2013,4,97,0
85,7,4,393,2013/4/7,2013,4,97,0
85,7,5,491,2013/4/7,2013,4,97,0
86,1,1,453,2013/4/8,2013,4,98,0
86,1,2,329,2013/4/8,2013,4,98,0
86,1,3,171,2013/4/8,2013,4,98,0
86,1,4,483,2013/4/8,2013,4,98,0
86,1,5,309,2013/4/8,2013,4,98,0
87,2,1,327,2013/4/9,2013,4,99,0
87,2,2,348,2013/4/9,2013,4,99,0
87,2,3,428,2013/4/9,2013,4,99,0
87,2,4,242,2013/4/9,2013,4,99,0
87,2,5,798,2013/4/9,2013,4,99,0
88,3,1,264,2013/4/10,2013,4,100,0
88,3,2,325,2013/4/10,2013,4,100,0
88,3,3,225,2013/4/10,2013,4,100,0
88,3,4,366,2013/4/10,2013,4,100,0
88,3,5,529,2013/4/10,2013,4,100,0
89,4,1,112,2013/4/11,2013,4,101,0
89,4,2,360,2013/4/11,2013,4,101,0
89,4,3,235,2013/4/11,2013,4,101,0
89,4,4,266,2013/4/11,2013,4,101,0
89,4,5,321,2013/4/11,2013,4,101,0
90,5,1,279,2013/4/12,2013,4,102,0
90,5,2,355,2013/4/12,2013,4,102,0
90,5,3,171,2013/4/12,2013,4,102,0
90,5,4,290,2013/4/12,2013,4,102,0
90,5,5,432,2013/4/12,2013,4,102,0
91,6,1,0,2013/4/13,2013,4,103,0
91,6,2,32,2013/4/13,2013,4,103,0
91,6,3,80,2013/4/13,2013,4,103,0
91,6,4,60,2013/4/13,2013,4,103,0
91,6,5,26,2013/4/13,2013,4,103,0
-12,7,1,0,2013/4/14,2013,4,104,0
-12,7,2,0,2013/4/14,2013,4,104,0
-12,7,3,0,2013/4/14,2013,4,104,0
-12,7,4,0,2013/4/14,2013,4,104,0
-12,7,5,0,2013/4/14,2013,4,104,0
92,1,1,488,2013/4/15,2013,4,105,1
92,1,2,469,2013/4/15,2013,4,105,1
92,1,3,364,2013/4/15,2013,4,105,1
92,1,4,266,2013/4/15,2013,4,105,1
92,1,5,577,2013/4/15,2013,4,105,1
93,2,1,523,2013/4/16,2013,4,106,0
93,2,2,253,2013/4/16,2013,4,106,0
93,2,3,241,2013/4/16,2013,4,106,0
93,2,4,151,2013/4/16,2013,4,106,0
93,2,5,463,2013/4/16,2013,4,106,0
94,3,1,346,2013/4/17,2013,4,107,0
94,3,2,429,2013/4/17,2013,4,107,0
94,3,3,225,2013/4/17,2013,4,107,0
94,3,4,282,2013/4/17,2013,4,107,0
94,3,5,577,2013/4/17,2013,4,107,0
95,4,1,367,2013/4/18,2013,4,108,0
95,4,2,337,2013/4/18,2013,4,108,0
95,4,3,137,2013/4/18,2013,4,108,0
95,4,4,266,2013/4/18,2013,4,108,0
95,4,5,340,2013/4/18,2013,4,108,0
96,5,1,314,2013/4/19,2013,4,109,0
96,5,2,291,2013/4/19,2013,4,109,0
96,5,3,235,2013/4/19,2013,4,109,0
96,5,4,242,2013/4/19,2013,4,109,0
96,5,5,432,2013/4/19,2013,4,109,0
97,6,1,22,2013/4/20,2013,4,110,0
97,6,2,32,2013/4/20,2013,4,110,0
97,6,3,53,2013/4/20,2013,4,110,0
97,6,4,30,2013/4/20,2013,4,110,0
97,6,5,0,2013/4/20,2013,4,110,0
98,7,1,0,2013/4/21,2013,4,111,0
98,7,2,14,2013/4/21,2013,4,111,0
98,7,3,0,2013/4/21,2013,4,111,0
98,7,4,0,2013/4/21,2013,4,111,0
98,7,5,22,2013/4/21,2013,4,111,0
99,1,1,540,2013/4/22,2013,4,112,0
99,1,2,444,2013/4/22,2013,4,112,0
99,1,3,257,2013/4/22,2013,4,112,0
99,1,4,266,2013/4/22,2013,4,112,0
99,1,5,597,2013/4/22,2013,4,112,0
100,2,1,261,2013/4/23,2013,4,113,0
100,2,2,364,2013/4/23,2013,4,113,0
100,2,3,267,2013/4/23,2013,4,113,0
100,2,4,332,2013/4/23,2013,4,113,0
100,2,5,360,2013/4/23,2013,4,113,0
101,3,1,244,2013/4/24,2013,4,114,0
101,3,2,296,2013/4/24,2013,4,114,0
101,3,3,324,2013/4/24,2013,4,114,0
101,3,4,225,2013/4/24,2013,4,114,0
101,3,5,360,2013/4/24,2013,4,114,0
102,4,1,319,2013/4/25,2013,4,115,0
102,4,2,232,2013/4/25,2013,4,115,0
102,4,3,157,2013/4/25,2013,4,115,0
102,4,4,111,2013/4/25,2013,4,115,0
102,4,5,283,2013/4/25,2013,4,115,0
103,5,1,314,2013/4/26,2013,4,116,0
103,5,2,317,2013/4/26,2013,4,116,0
103,5,3,321,2013/4/26,2013,4,116,0
103,5,4,266,2013/4/26,2013,4,116,0
103,5,5,556,2013/4/26,2013,4,116,0
104,6,1,131,2013/4/27,2013,4,117,0
104,6,2,539,2013/4/27,2013,4,117,0
